campaign,station,mesopelagic sublayer,Depths ,POC fluxes
D341,PAP,Upper,45,83.9701339704295
D341,PAP,Lower,583.4,13.9700225897442
DY032,PAP,Upper,97.7,85.5
DY032,PAP,Lower,530.9,23.2229150085341
PEACETIME,ION,Upper,11.5,18.4696402127866
PEACETIME,ION,Lower,317.3,2.93852615721396
PEACETIME,FAST,Upper,107,4.93709986718837
PEACETIME,FAST,Lower,239.1,4.28479433213876
PEACETIME,TYR,Upper,89.8,5.24013038849822
PEACETIME,TYR,Lower,404.7,3.26730371566261
TONGA,STATION 10,Upper,107.4,93.8477347939656
TONGA,STATION 10,Lower,389.5,41.5634997209739
TONGA,STATION 5,Upper,98,47.1200342955192
TONGA,STATION 5,Lower,472.8,26.45583938183
TONGA,STATION 8,Upper,158,21.3257146614236
TONGA,STATION 8,Lower,460.5,13.497031447379
