Depth (m); Leucine incorporated (pmol L-1 h-1) ;ngC L-1 h-1;PHP (mg C m-3 d-1)
28;0.133;0.20615;0.0049476
70;0.1009;0.156400046;0.003753601
128;0.063;0.09765;0.0023436
500;0.0728;0.112883586;0.002709206
;;;
;;;
Depth (m); Leucine incorporated (pmol L-1 h-1) ;ngC L-1 h-1;PHP (mg C m-3 d-1)
28;0.1364;0.21143395;0.005074415
70;0.0587;0.091019875;0.002184477
128;0.02;0.03105952;0.000745428
500;0.0019;0.002964437;7.11E-05
;;;
Depth (m); Leucine incorporated (pmol L-1 h-1) ; Leucine incorporated (pmol m3 d-1) ;
28;0.2694;6465.6;
70;0.1596;3830.4;
128;0.083;1992;
500;0.0747;1792.8;
;;;
Depth (m); Leucine incorporated (pmol m3 d-1) ;;
28;6465.6;0;
70;3830.4;0;
128;1992;0;
500;1792.8;0;
